username,password,role,employeeid
manuelgarcia001,mgarcia001,admin,10001
antoniolim002,alim002,admin,10002
biancaaquino003,baquino003,admin,10003
isabellareyes004,ireyes004,admin,10004
eduardhernandez005,ehernandez005,admin,10005
andreavillanueva006,avillanueva006,admin,10006
bradsanjose007,bsanjose007,admin,10007
aliceromualdez008,aromualdez008,admin,10008
rosieatienza009,ratienza009,admin,10009
roderickalvaro010,ralvaro010,admin,10010
anthonysalcedo011,asalcedo011,admin,10011
josielopez012,jlopez012,admin,10012
marthafarala013,mfarala013,admin,10013
leilamartinez014,lmartinez014,admin,10014
fredickromualdez015,fromualdez015,admin,10015
christianmata016,cmata016,admin,10016
selenadeleon017,sdeleon017,employee,10017
allisonsanjose018,asanjose018,employee,10018
cydneyrosario019,crosario019,employee,10019
markbautista020,mbautista020,employee,10020
darlenelazaro021,dlazaro021,employee,10021
kolbydelossantos022,kdelossantos022,employee,10022
vellasantos023,vsantos023,employee,10023
tomasdelrosario024,tdelrosario024,employee,10024
jacklyntolentino025,jtolentino025,employee,10025
percivalgutierrez026,pgutierrez026,employee,10026
garfieldmanalaysay027,gmanalaysay027,employee,10027
lizethvillegas028,lvillegas028,employee,10028
carolramos029,cramos029,employee,10029
emeliamaceda030,emaceda030,employee,10030
deliaaguilar031,daguilar031,employee,10031
johncastro032,jcastro032,admin,10032
carlosianmartinez033,cmartinez033,admin,10033
beatrizsantos034,bsantos034,admin,10034
